STATION,YEAR,Cd,Ec,Hv,Ms,Nfl,Ngu,Nm,Pcr,Pe,Ppf,Ppu,Rm,Ppc,Va,Zp,Zm,totobs
CB3.1,1986,0.1111111111111111,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0.1111111111111111,0.4444444444444444,0,0,9
ET1.1,1986,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2
RET2.2,1986,0.3333333333333333,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0,9
TF2.1,1986,0.21052631578947367,0,0.3082706766917293,0.2706766917293233,0,0,0,0,0,0,0,0,0,0.21052631578947367,0,0,133
TF2.2,1986,0.11594202898550725,0,0.36231884057971014,0.37681159420289856,0,0,0,0.014492753623188406,0,0,0,0,0,0.13043478260869565,0,0,69
WT1.1,1986,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6
WT2.1,1986,0.24193548387096775,0.0967741935483871,0,0.41935483870967744,0,0,0,0,0,0,0,0,0,0.24193548387096775,0,0,62
WT3.1,1986,0.21428571428571427,0.08928571428571429,0,0.44642857142857145,0,0,0,0,0,0,0,0,0.08928571428571429,0.16071428571428573,0,0,56
WXT0001,1986,0.2857142857142857,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,7
XFB1986,1986,0.3181818181818182,0,0.3181818181818182,0.2727272727272727,0,0.045454545454545456,0,0,0,0,0,0,0,0.045454545454545456,0,0,22
CB1.1,1987,0.1977401129943503,0,0.07909604519774012,0.4576271186440678,0,0.01694915254237288,0,0,0,0,0,0,0.05649717514124294,0.192090395480226,0,0,177
CB5.1W,1987,0.0625,0,0,0,0,0,0,0,0,0,0,0.375,0.25,0,0.3125,0,16
ET3.1,1987,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.6071428571428571,0,0,0,0.07142857142857142,0,0,0,0,0,0.07142857142857142,0,0,28
RET2.1,1987,0.18181818181818182,0,0.09090909090909091,0.18181818181818182,0,0,0,0,0,0,0,0,0.09090909090909091,0.45454545454545453,0,0,11
RET2.2,1987,0.32608695652173914,0,0,0.32608695652173914,0,0,0,0.021739130434782608,0,0.043478260869565216,0,0,0.10869565217391304,0.17391304347826086,0,0,46
RET2.4,1987,0.02631578947368421,0.02631578947368421,0,0.07894736842105263,0,0.02631578947368421,0,0.02631578947368421,0,0.3157894736842105,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.3157894736842105,0.02631578947368421,0,38
TF1.2,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TF1.3,1987,0.2692307692307692,0.23076923076923078,0,0,0,0.11538461538461539,0,0.15384615384615385,0,0,0,0,0,0.19230769230769232,0.038461538461538464,0,26
TF1.4,1987,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4
TF2.1,1987,0.15639810426540285,0,0.4028436018957346,0.25118483412322273,0,0,0.023696682464454975,0,0,0,0,0,0,0.15165876777251186,0.014218009478672985,0,211
TF2.2,1987,0.18556701030927836,0,0.33505154639175255,0.30927835051546393,0,0,0.03608247422680412,0,0,0,0,0,0,0.13402061855670103,0,0,194
TF2.3,1987,0.14285714285714285,0,0.3492063492063492,0.3492063492063492,0,0,0.015873015873015872,0,0,0,0,0,0,0.14285714285714285,0,0,63
TF2.4,1987,0.14285714285714285,0,0.2857142857142857,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0.14285714285714285,0,0,7
WT3.1,1987,0.13636363636363635,0.07575757575757576,0,0.5151515151515151,0,0,0,0,0,0,0,0,0.030303030303030304,0.24242424242424243,0,0,66
WXT0001,1987,0.42857142857142855,0.21428571428571427,0,0,0,0,0,0.07142857142857142,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,14
XFB1986,1987,0.125,0,0.625,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,8
CB1.1,1989,0.2914572864321608,0,0.1708542713567839,0.40703517587939697,0,0.005025125628140704,0,0,0,0,0,0,0.01507537688442211,0.11055276381909548,0,0,199
CB2.1,1989,0.12903225806451613,0,0,0.45161290322580644,0,0,0,0,0,0,0,0,0,0.41935483870967744,0,0,31
CB2.2,1989,0.04,0,0.08,0.4,0,0,0,0,0,0,0,0.16,0,0.28,0.04,0,25
ET2.3,1989,0.0967741935483871,0,0,0.6774193548387096,0,0,0,0,0,0,0,0,0.06451612903225806,0.16129032258064516,0,0,31
ET3.1,1989,0.125,0,0,0.375,0,0,0,0.25,0,0,0,0,0,0.25,0,0,8
MAT0016,1989,0.18181818181818182,0,0.45454545454545453,0.18181818181818182,0,0,0.09090909090909091,0,0,0,0,0,0,0.09090909090909091,0,0,22
RET2.1,1989,0.2631578947368421,0,0.10526315789473684,0.42105263157894735,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0,19
RET2.2,1989,0.25,0,0,0.25,0,0,0,0,0,0.125,0,0,0,0.25,0.125,0,8
RET2.4,1989,0.04,0,0,0.26,0,0,0,0.02,0,0.08,0.02,0.12,0.08,0.38,0,0,50
TF1.3,1989,0.29411764705882354,0.17647058823529413,0,0,0,0.058823529411764705,0,0.17647058823529413,0,0,0.058823529411764705,0,0,0.11764705882352941,0.11764705882352941,0,17
TF1.4,1989,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,3
TF2.1,1989,0.04878048780487805,0,0.3902439024390244,0.24390243902439024,0,0.024390243902439025,0,0,0,0,0.024390243902439025,0,0,0.24390243902439024,0.024390243902439025,0,41
TF2.2,1989,0.1875,0,0.203125,0.328125,0,0,0.046875,0,0,0,0.015625,0,0,0.21875,0,0,64
TF2.3,1989,0.2153846153846154,0,0.27692307692307694,0.3076923076923077,0,0,0,0,0,0,0,0,0,0.2,0,0,65
TF2.4,1989,0.2391304347826087,0,0.21739130434782608,0.21739130434782608,0,0.06521739130434782,0.021739130434782608,0,0,0,0.021739130434782608,0,0,0.21739130434782608,0,0,46
WT2.1,1989,0.5,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,8
WT3.1,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
WXT0001,1989,0.1111111111111111,0.4444444444444444,0,0,0,0.3333333333333333,0,0.1111111111111111,0,0,0,0,0,0,0,0,9
CB1.1,1990,0.12359550561797752,0,0.16853932584269662,0.5168539325842697,0,0,0,0,0,0,0,0,0.011235955056179775,0.1797752808988764,0,0,89
MAT0016,1990,0.057971014492753624,0,0.42028985507246375,0.2463768115942029,0,0.014492753623188406,0.15942028985507245,0,0,0,0,0,0,0.10144927536231885,0,0,69
RET2.1,1990,0.12195121951219512,0,0.15853658536585366,0.3780487804878049,0,0.06097560975609756,0.024390243902439025,0,0,0,0,0,0,0.25609756097560976,0,0,82
RET2.4,1990,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,0,0,0,0.11428571428571428,0,0.17142857142857143,0,0,0.11428571428571428,0.4,0.02857142857142857,0,35
TF1.3,1990,0.23529411764705882,0.23529411764705882,0,0,0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0,0.058823529411764705,0,0,0.058823529411764705,0.11764705882352941,0,17
TF1.4,1990,0.6666666666666666,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,3
TF1.5,1990,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,4
TF1.6,1990,0.2857142857142857,0.2857142857142857,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0.14285714285714285,0,7
TF2.1,1990,0.02242152466367713,0,0.600896860986547,0.25112107623318386,0,0,0.02242152466367713,0,0,0,0,0,0,0.1031390134529148,0,0,223
TF2.2,1990,0.0603448275862069,0,0.41379310344827586,0.2413793103448276,0,0.017241379310344827,0.05172413793103448,0,0,0,0,0,0,0.21551724137931033,0,0,116
TF2.3,1990,0.014285714285714285,0,0.34285714285714286,0.3142857142857143,0,0,0.04285714285714286,0,0,0,0,0,0,0.2857142857142857,0,0,70
TF2.4,1990,0.10526315789473684,0.004784688995215311,0.3875598086124402,0.23444976076555024,0,0.0430622009569378,0.028708133971291867,0,0,0,0,0,0,0.19617224880382775,0,0,209
TF5.5A,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
WXT0001,1990,0.3333333333333333,0.25,0,0,0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0.08333333333333333,0,12
XFB1986,1990,0.05555555555555555,0,0.7777777777777778,0.1111111111111111,0,0,0,0,0,0,0,0,0,0.05555555555555555,0,0,18
CB1.1,1991,0.14285714285714285,0,0.24725274725274726,0.46703296703296704,0,0.016483516483516484,0.005494505494505495,0.005494505494505495,0,0,0,0,0,0.11538461538461539,0,0,182
ET1.1,1991,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,4
MAT0016,1991,0.17307692307692307,0,0.28846153846153844,0.25,0,0,0.1346153846153846,0,0,0,0,0,0,0.15384615384615385,0,0,52
RET2.1,1991,0.23529411764705882,0,0.11764705882352941,0.3235294117647059,0,0,0,0,0,0,0,0,0,0.3235294117647059,0,0,34
RET2.2,1991,0.375,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.5625,0,0,16
RET5.1A,1991,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,3
RET5.2,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TF1.3,1991,0.25,0.2,0,0,0,0.1,0.2,0.15,0,0,0,0,0,0.1,0,0,20
TF1.4,1991,0.6666666666666666,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,3
TF1.5,1991,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,4
TF1.6,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TF1.7,1991,0.125,0.25,0,0,0,0,0.125,0.125,0,0,0,0,0,0.125,0.25,0,8
TF2.1,1991,0.12549019607843137,0,0.396078431372549,0.32941176470588235,0,0,0.00392156862745098,0,0,0,0,0,0.00392156862745098,0.1411764705882353,0,0,255
TF2.2,1991,0.1858974358974359,0,0.3269230769230769,0.24358974358974358,0,0,0.0641025641025641,0,0,0,0,0,0,0.1794871794871795,0,0,156
TF2.3,1991,0.15476190476190477,0,0.25,0.35714285714285715,0,0,0.07142857142857142,0,0,0,0,0,0,0.16666666666666666,0,0,84
TF2.4,1991,0.2222222222222222,0,0.3888888888888889,0.23148148148148148,0,0,0.009259259259259259,0,0,0,0,0,0.018518518518518517,0.12962962962962962,0,0,108
TF3.3,1991,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2
TF5.5A,1991,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,3
WT1.1,1991,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,6
WT2.1,1991,0.14864864864864866,0.25675675675675674,0,0.33783783783783783,0,0.013513513513513514,0,0.06756756756756757,0,0,0,0,0,0.16216216216216217,0.013513513513513514,0,74
WT3.1,1991,0.3333333333333333,0,0,0.4166666666666667,0,0,0,0.16666666666666666,0,0,0,0,0,0,0.08333333333333333,0,12
WT8.2,1991,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2
WXT0001,1991,0.3333333333333333,0.16666666666666666,0,0,0,0,0.4166666666666667,0,0,0,0,0,0,0.08333333333333333,0,0,12
CB1.1,1992,0.14788732394366197,0,0.21830985915492956,0.4154929577464789,0,0,0,0,0,0,0,0,0.007042253521126761,0.2112676056338028,0,0,142
TF1.3,1992,0.16,0.12,0,0,0,0.12,0.12,0.12,0.04,0,0.08,0,0.04,0.12,0.08,0,25
TF1.4,1992,0.25,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,4
TF1.5,1992,0.16666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0.16666666666666666,0,0,0.16666666666666666,0.16666666666666666,0,6
TF1.6,1992,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0.2857142857142857,0,0,0.2857142857142857,0,0,0.14285714285714285,0,0,7
TF2.2,1992,0.2857142857142857,0,0.14285714285714285,0.2857142857142857,0,0.14285714285714285,0,0,0,0,0,0,0,0.14285714285714285,0,0,7
WT1.1,1992,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2
WT2.1,1992,0.09615384615384616,0.40384615384615385,0,0.4230769230769231,0,0,0,0,0,0,0,0,0,0.057692307692307696,0.019230769230769232,0,52
WXT0001,1992,0.2,0.26666666666666666,0,0,0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0,0,0.06666666666666667,0,0,0,0.13333333333333333,0,15
CB1.1,1993,0.1388888888888889,0,0.26666666666666666,0.4444444444444444,0,0.011111111111111112,0,0,0,0,0,0,0,0.1388888888888889,0,0,180
ET4.2,1993,0.03571428571428571,0.03571428571428571,0,0.14285714285714285,0,0,0,0,0,0.32142857142857145,0,0.25,0,0,0.21428571428571427,0,28
MAT0016,1993,0.08333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.25,0,0,12
RET2.1,1993,0.1,0,0.15,0.3,0,0.05,0.1,0,0,0,0,0,0,0.3,0,0,20
TF1.2,1993,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,3
TF1.3,1993,0.23529411764705882,0.17647058823529413,0.058823529411764705,0,0,0.14705882352941177,0.14705882352941177,0.11764705882352941,0.029411764705882353,0,0.029411764705882353,0,0,0.058823529411764705,0,0,34
TF1.6,1993,0.25,0.25,0,0,0,0.125,0,0.25,0,0,0,0,0,0.125,0,0,8
TF2.1,1993,0.078125,0,0.375,0.25,0,0,0.046875,0.015625,0,0,0,0,0.03125,0.203125,0,0,64
TF2.2,1993,0.13513513513513514,0,0.2702702702702703,0.2972972972972973,0,0,0.05405405405405406,0,0,0,0,0,0,0.24324324324324326,0,0,37
TF2.3,1993,0.20833333333333334,0,0.25,0.2916666666666667,0,0,0.041666666666666664,0,0,0,0,0,0,0.20833333333333334,0,0,24
TF2.4,1993,0.14035087719298245,0,0.24561403508771928,0.22807017543859648,0,0.03508771929824561,0.14035087719298245,0,0,0,0,0,0,0.21052631578947367,0,0,57
WT2.1,1993,0.06666666666666667,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.26666666666666666,0,0,15
WT3.1,1993,0.2,0.2,0,0.26666666666666666,0,0,0,0.2,0,0,0,0,0,0.06666666666666667,0.06666666666666667,0,15
WT6.1,1993,0.0425531914893617,0.06382978723404255,0,0.06382978723404255,0.02127659574468085,0,0,0,0,0.0425531914893617,0,0.10638297872340426,0.06382978723404255,0,0.5957446808510638,0,47
WXT0001,1993,0.2727272727272727,0.18181818181818182,0,0,0,0,0.36363636363636365,0.18181818181818182,0,0,0,0,0,0,0,0,11
XHH4742,1993,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,12
CB1.1,1994,0.19907407407407407,0.004629629629629629,0.25925925925925924,0.41203703703703703,0,0.018518518518518517,0.004629629629629629,0,0,0,0,0,0,0.10185185185185185,0,0,216
CB2.1,1994,0.07692307692307693,0,0.1076923076923077,0.49230769230769234,0,0,0.015384615384615385,0,0,0,0,0,0.015384615384615385,0.2923076923076923,0,0,65
RET2.1,1994,0.09090909090909091,0,0.23636363636363636,0.36363636363636365,0,0.01818181818181818,0.03636363636363636,0,0,0.01818181818181818,0,0,0.01818181818181818,0.21818181818181817,0,0,55
TF1.3,1994,0.1643835616438356,0.1917808219178082,0.1095890410958904,0,0,0.1095890410958904,0.0958904109589041,0.136986301369863,0,0,0.0821917808219178,0,0,0.0136986301369863,0.0958904109589041,0,73
TF1.4,1994,0.23529411764705882,0.17647058823529413,0.058823529411764705,0,0,0.029411764705882353,0.23529411764705882,0.14705882352941177,0.029411764705882353,0,0,0,0,0,0.08823529411764706,0,34
TF1.5,1994,0.25,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0.125,0.25,0,8
TF1.7,1994,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0.3333333333333333,0,0,0.16666666666666666,0,0,0,0,0,6
TF2.1,1994,0.07,0,0.52,0.16,0,0.01,0.02,0,0,0,0,0,0,0.22,0,0,100
TF2.2,1994,0.16326530612244897,0,0.32653061224489793,0.1836734693877551,0,0,0.12244897959183673,0,0,0,0,0,0,0.20408163265306123,0,0,49
TF2.3,1994,0.07142857142857142,0,0.25,0.4642857142857143,0,0,0.07142857142857142,0,0,0,0,0,0,0.14285714285714285,0,0,28
TF2.4,1994,0.1348314606741573,0,0.38202247191011235,0.34831460674157305,0,0,0,0,0,0,0,0,0,0.1348314606741573,0,0,89
WT1.1,1994,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,3
WT3.1,1994,0.08333333333333333,0.16666666666666666,0,0.375,0,0.041666666666666664,0,0,0,0.041666666666666664,0,0.041666666666666664,0,0.25,0,0,24
WXT0001,1994,0.10810810810810811,0.2972972972972973,0.08108108108108109,0,0,0.13513513513513514,0.08108108108108109,0.08108108108108109,0,0,0.02702702702702703,0,0,0.02702702702702703,0.16216216216216217,0,37
CB1.1,1995,0.1593625498007968,0,0.2788844621513944,0.3745019920318725,0,0.03187250996015936,0,0,0,0,0,0,0,0.1553784860557769,0,0,251
CB2.1,1995,0.0784313725490196,0,0.09803921568627451,0.43137254901960786,0,0,0,0,0,0,0,0,0.09803921568627451,0.29411764705882354,0,0,51
ET3.1,1995,0.14285714285714285,0,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,7
LE4.1,1995,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0,5
RET2.1,1995,0.12,0,0.26666666666666666,0.30666666666666664,0,0.03333333333333333,0.11333333333333333,0,0,0,0,0,0,0.16,0,0,150
RET2.2,1995,0.03333333333333333,0,0.06666666666666667,0.16666666666666666,0,0,0.06666666666666667,0,0,0.1,0,0,0.13333333333333333,0.43333333333333335,0,0,30
TF1.3,1995,0.1935483870967742,0.1935483870967742,0.2903225806451613,0,0,0.16129032258064516,0.03225806451612903,0.03225806451612903,0,0,0,0,0,0.06451612903225806,0.03225806451612903,0,31
TF1.4,1995,0.2727272727272727,0.18181818181818182,0.2727272727272727,0,0,0,0.18181818181818182,0.09090909090909091,0,0,0,0,0,0,0,0,11
TF1.5,1995,0.2,0.2,0,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,5
TF1.6,1995,0.2857142857142857,0.2857142857142857,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0.14285714285714285,0,0,7
TF1.7,1995,0.2857142857142857,0.2857142857142857,0,0,0,0,0,0.2857142857142857,0,0,0.14285714285714285,0,0,0,0,0,7
TF2.1,1995,0.13,0,0.435,0.14,0,0,0.065,0,0,0,0,0,0.005,0.225,0,0,200
TF2.2,1995,0.06923076923076923,0,0.3153846153846154,0.13846153846153847,0,0.015384615384615385,0.13076923076923078,0,0,0,0,0,0,0.33076923076923076,0,0,130
TF2.3,1995,0.030927835051546393,0,0.26804123711340205,0.3402061855670103,0,0,0.13402061855670103,0.020618556701030927,0,0,0,0,0,0.20618556701030927,0,0,97
TF2.4,1995,0.18045112781954886,0,0.3308270676691729,0.24060150375939848,0,0,0.15789473684210525,0,0,0,0,0,0,0.09022556390977443,0,0,133
WT1.1,1995,0.07142857142857142,0.07142857142857142,0,0.35714285714285715,0,0,0,0.2857142857142857,0.14285714285714285,0,0,0,0,0.07142857142857142,0,0,14
WT2.1,1995,0.058823529411764705,0.38235294117647056,0,0.35294117647058826,0,0,0,0,0,0,0,0,0,0.20588235294117646,0,0,34
WT4.1,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WXT0001,1995,0.26666666666666666,0.26666666666666666,0.13333333333333333,0,0.06666666666666667,0.06666666666666667,0.2,0,0,0,0,0,0,0,0,0,15
CB1.1,1996,0.2090032154340836,0.012861736334405145,0.26688102893890675,0.34726688102893893,0,0.01607717041800643,0,0,0,0,0.006430868167202572,0,0,0.1382636655948553,0.003215434083601286,0,311
CB2.1,1996,0.18633540372670807,0,0.21739130434782608,0.36645962732919257,0,0.006211180124223602,0.006211180124223602,0,0,0,0,0,0,0.19875776397515527,0.018633540372670808,0,161
CB2.2,1996,0.18421052631578946,0.05263157894736842,0.15789473684210525,0.32894736842105265,0,0,0,0.02631578947368421,0,0,0,0,0.013157894736842105,0.14473684210526316,0.09210526315789473,0,76
ET2.3,1996,0.03125,0,0,0.625,0,0,0,0,0,0,0,0,0.03125,0.3125,0,0,32
ET6.2,1996,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,4
MAT0016,1996,0.12280701754385964,0,0.45614035087719296,0.14035087719298245,0,0,0.14035087719298245,0,0,0,0,0,0,0.14035087719298245,0,0,57
RET2.1,1996,0.065,0,0.335,0.28,0,0.06,0.095,0,0,0,0,0,0,0.165,0,0,200
RET2.2,1996,0.11538461538461539,0,0.09615384615384616,0.40384615384615385,0,0.038461538461538464,0.038461538461538464,0,0,0,0.019230769230769232,0,0,0.28846153846153844,0,0,52
RET2.4,1996,0.023255813953488372,0.06201550387596899,0.007751937984496124,0.35658914728682173,0,0,0,0.015503875968992248,0,0.24031007751937986,0,0.06976744186046512,0.06976744186046512,0.14728682170542637,0.007751937984496124,0,129
TF1.3,1996,0.15151515151515152,0.15151515151515152,0.2727272727272727,0.030303030303030304,0,0.12121212121212122,0.09090909090909091,0.09090909090909091,0,0,0.030303030303030304,0,0,0,0.06060606060606061,0,33
TF1.4,1996,0.19047619047619047,0.19047619047619047,0.2857142857142857,0,0,0,0.14285714285714285,0.09523809523809523,0,0,0,0,0,0,0.09523809523809523,0,21
